City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
102,Ambositra,MG,2021-11-01 00:58:58,-20.5167,47.25,58.1,96,0,0.89,clear sky,0,0
103,Pontian Kecil,MY,2021-11-01 00:58:58,1.4801,103.3899,80.73,83,92,9.08,overcast clouds,0,0
104,Paamiut,GL,2021-11-01 00:58:59,61.994,-49.6678,31.53,72,99,8.14,overcast clouds,0,0
105,Saskylakh,RU,2021-11-01 00:55:44,71.9167,114.0833,4.59,97,99,6.82,overcast clouds,0,0
106,Arraial Do Cabo,BR,2021-11-01 00:54:39,-22.9661,-42.0278,70.05,94,100,21.59,overcast clouds,0,0
107,Ilulissat,GL,2021-11-01 00:58:59,69.2167,-51.1,31.28,97,100,11.39,light snow,0,0
108,Yar-Sale,RU,2021-11-01 00:58:59,66.8333,70.8333,6.39,96,100,2.77,overcast clouds,0,0
109,Esso,RU,2021-11-01 00:59:00,55.9333,158.7,15.48,83,98,9.26,overcast clouds,0,0
110,Saint Anthony,US,2021-11-01 00:59:00,45.0205,-93.218,42.82,59,90,1.99,overcast clouds,0,0
111,Tarrega,ES,2021-11-01 00:59:00,41.647,1.1396,63.9,86,100,4.36,overcast clouds,0,0
112,Cassilandia,BR,2021-11-01 00:59:01,-19.1133,-51.7342,70.14,95,96,4.97,overcast clouds,0,0
113,Morgantown,US,2021-11-01 00:55:19,39.6295,-79.9559,55.47,88,100,1.01,overcast clouds,0,0
114,Noumea,NC,2021-11-01 00:59:01,-22.2763,166.4572,78.01,99,67,9.06,broken clouds,0,0
115,Ust-Tsilma,RU,2021-11-01 00:59:02,65.441,52.1498,7.09,98,73,3.53,broken clouds,0,0
116,San Cristobal,VE,2021-11-01 00:59:02,7.7669,-72.225,69.98,98,99,0.94,moderate rain,0,0
117,Xining,CN,2021-11-01 00:54:24,36.6167,101.7667,36.3,84,99,2.8,overcast clouds,0,0
118,Russell,US,2021-11-01 00:59:03,32.3502,-85.1999,54.97,92,0,5.32,clear sky,0,0
119,Naters,CH,2021-11-01 00:59:03,46.3254,7.9891,54.95,97,100,7.78,overcast clouds,0,0
120,Morehead,US,2021-11-01 00:59:03,37.2711,-87.1764,52.99,83,1,1.99,clear sky,0,0
121,Longyearbyen,SJ,2021-11-01 00:59:03,78.2186,15.6401,33.64,69,40,20.71,scattered clouds,0,0
122,Ambon,ID,2021-11-01 00:59:04,-3.6954,128.1814,84.34,79,40,2.3,scattered clouds,0,0
123,Cockburn Town,TC,2021-11-01 00:59:04,21.4612,-71.1419,80.56,74,40,2.3,scattered clouds,0,0
124,Elmadag,TR,2021-11-01 00:59:04,39.9208,33.2308,47.34,70,100,4.74,overcast clouds,0,0
125,Quimper,FR,2021-11-01 00:59:05,48.0,-4.1,54.16,76,75,17.27,broken clouds,0,0
126,Ibadan,NG,2021-11-01 00:59:05,7.3878,3.8964,72.81,98,78,3.11,broken clouds,0,0
127,Bethel,US,2021-11-01 00:59:05,41.3712,-73.414,57.02,87,32,3.0,scattered clouds,0,0
128,Tiksi,RU,2021-11-01 00:57:02,71.6872,128.8694,11.88,83,100,11.36,overcast clouds,0,0
129,Mount Gambier,AU,2021-11-01 00:59:06,-37.8333,140.7667,64.31,48,5,6.91,clear sky,0,0
130,Saint-Joseph,RE,2021-11-01 00:59:06,-21.3667,55.6167,67.21,84,38,10.33,scattered clouds,0,0
131,Ribeira Grande,PT,2021-11-01 00:59:06,38.5167,-28.7,71.2,88,100,7.38,overcast clouds,0,0
132,Mutis,CO,2021-11-01 00:59:07,6.2262,-77.4044,76.66,87,95,2.84,overcast clouds,0,0
133,Antalaha,MG,2021-11-01 00:59:07,-14.9003,50.2788,71.91,90,6,4.14,clear sky,0,0
134,Carnarvon,AU,2021-11-01 00:59:07,-24.8667,113.6333,69.87,56,40,18.41,scattered clouds,0,0
135,Buala,SB,2021-11-01 00:58:20,-8.145,159.5921,83.32,74,73,5.12,moderate rain,0,0
136,Vao,NC,2021-11-01 00:59:08,-22.6667,167.4833,72.07,75,34,14.9,scattered clouds,0,0
137,Hithadhoo,MV,2021-11-01 00:59:08,-0.6,73.0833,81.81,77,100,19.64,overcast clouds,0,0
138,Touros,BR,2021-11-01 00:59:09,-5.1989,-35.4608,81.5,77,14,14.94,few clouds,0,0
139,General Roca,AR,2021-11-01 00:59:09,-39.0333,-67.5833,55.8,47,100,8.66,overcast clouds,0,0
140,Anadyr,RU,2021-11-01 00:59:09,64.75,177.4833,-5.01,76,66,15.01,broken clouds,0,0
141,Faya,SA,2021-11-01 00:57:10,18.3851,42.4509,55.51,55,10,5.79,clear sky,0,0
142,Luanda,AO,2021-11-01 00:59:10,-8.8368,13.2343,75.2,83,75,5.75,broken clouds,0,0
143,Bose,IT,2021-11-01 00:59:10,45.4612,8.0137,49.73,97,100,0.67,light rain,0,0
